ID;Nome Completo;Idade;CPF;Sexo;Estado Civil;E-mail;Telefone;Cidade;Estado;Marca;Modelo;Ano_fabricacao;Cor;Valor_venda;Data_venda;Forma_pagamento
1;Luigi Silva;53;910.623.485-24;Masculino;Viúvo;monteirovalentim@example.org;+55 21 0592 1284;Azevedo de da Rosa;SP;Toyota;Yaris;2021;Cinza;80028.52;2017-08-31;À vista
2;Ester da Rocha;63;235.408.196-06;Feminino;Solteiro;santoshenry@example.net;(084) 2407 2800;Costela;PR;Hyundai;HB20S;2016;Cinza;103668.13;2022-01-01;Consórcio
3;Maria Luiza Nogueira;25;174.950.328-04;Feminino;Solteiro;zgoncalves@example.net;+55 81 2567 8847;Sá Alegre;MG;Ford;Ecosport;2017;Preto;229867.69;2018-02-17;À vista
4;Renan Novaes;19;245.367.890-65;Masculino;Casado;oliver50@example.com;+55 (021) 0411 4291;Guerra;MA;Honda;Fit;2020;Cinza;105843.27;2024-02-03;Financiamento
5;Manuela Novais;40;371.269.084-31;Feminino;Casado;tpinto@example.org;(011) 8890 3785;Castro de Minas;PI;Ford;Ka;2022;Cinza;66929.84;2019-06-29;Financiamento
6;Antony Nascimento;29;493.178.250-79;Masculino;Divorciado;oliveiraapollo@example.net;21 9642-2671;Melo Alegre;RR;Honda;HR-V;2023;Prata;40433.19;2019-11-26;Financiamento
7;Aylla Garcia;37;976.482.530-38;Feminino;Casado;jda-cunha@example.org;21 5334-5818;Rios de Jesus;AP;Toyota;Yaris;2022;Cinza;180325.54;2019-11-02;Financiamento
8;Gabrielly da Cunha;50;978.013.256-21;Feminino;Viúvo;esthersousa@example.org;+55 71 2523-1083;Aparecida;RS;Citroen;Aircross;2013;Cinza;34098.29;2024-05-08;Financiamento
9;Jade Monteiro;19;913.052.476-80;Feminino;Divorciado;brunosousa@example.org;+55 (084) 7043-8071;Macedo do Norte;PB;Peugeot;Partner;2021;Verde;71511.28;2017-10-01;À vista
10;Rodrigo da Rosa;45;248.605.973-38;Masculino;Divorciado;valentina90@example.org;(084) 4410 3574;Pinto de Sousa;AL;Toyota;Corolla;2023;Preto;222721.67;2017-05-24;Consórcio
11;Juliana Costela;58;425.786.130-44;Feminino;Casado;ana-juliacostela@example.net;(071) 2496 2150;Marques da Prata;DF;Peugeot;3008;2023;Prata;44833.04;2022-01-02;Financiamento
12;Anthony Barros;24;140.256.738-35;Masculino;Viúvo;andrecampos@example.org;0500 558 1493;Machado;SE;Hyundai;HB20S;2014;Cinza;54538.25;2018-09-18;À vista
13;Ana Carolina Ramos;68;372.951.604-34;Feminino;Divorciado;maria-flor73@example.org;+55 84 0584 2839;Pimenta Grande;RS;Ford;Focus;2013;Verde;34256.33;2020-01-21;Financiamento
14;Bianca Castro;31;469.752.031-99;Feminino;Casado;anna-liz42@example.org;(011) 4220-2177;Barros de Cirino;DF;Fiat;Mobi;2018;Branco;172064.37;2023-07-22;À vista
15;Luara Gonçalves;30;953.827.460-10;Feminino;Viúvo;kbarbosa@example.com;(071) 1876-4336;Cavalcanti de da Rocha;DF;Volskwagen;Saveiro;2015;Cinza;81211.61;2020-07-18;Leasing
16;Vitor Hugo Sousa;28;861.792.450-02;Masculino;Solteiro;sarahalbuquerque@example.net;+55 (061) 6876 7524;Sá da Serra;AL;Peugeot;Partner;2016;Preto;107051.82;2021-04-27;Consórcio
17;Luiz Fernando Alves;19;549.038.612-60;Masculino;Solteiro;hferreira@example.net;+55 41 1520-0378;Farias da Mata;SC;Honda;Civic;2018;Preto;74629.79;2017-09-28;Financiamento
18;Josué Costela;58;612.987.045-02;Masculino;Divorciado;adas-neves@example.org;(021) 1714-3339;Câmara;AP;Ford;Ecosport;2013;Cinza;180125.39;2019-10-03;Financiamento
19;Bárbara Camargo;62;096.317.284-04;Feminino;Solteiro;cavalcantedavi-luiz@example.org;+55 (084) 3056 1348;Castro;GO;Ford;Territory;2016;Prata;197579.91;2021-11-07;À vista
20;Bárbara Farias;28;205.691.738-68;Feminino;Viúvo;qcaldeira@example.net;81 7030-6120;da Rosa;MG;Honda;HR-V;2017;Preto;173808.28;2019-04-18;Consórcio
21;Danilo Cassiano;70;459.328.071-05;Masculino;Casado;estergomes@example.org;(084) 9216 4775;Sampaio do Sul;RR;Volskwagen;Up;2013;Branco;104511.06;2023-10-25;À vista
22;Mariane Porto;38;069.874.253-29;Feminino;Casado;pietraalmeida@example.org;(071) 8995 5471;Cavalcanti de Minas;SP;Volskwagen;T-Cross;2021;Branco;196579.13;2021-03-28;Consórcio
23;Maria Isis Andrade;62;297.435.180-88;Feminino;Divorciado;luiz-gustavo55@example.com;+55 71 3276 5612;Farias do Oeste;SE;Honda;Fit;2014;Cinza;190897.43;2020-10-10;Financiamento
24;Evelyn Nascimento;52;213.695.078-95;Feminino;Viúvo;ana-cecilia21@example.net;+55 (051) 5381-1030;Câmara;PB;Toyota;Camry;2018;Azul;94182.24;2021-07-21;À vista
25;Gustavo Henrique Camargo;18;587.621.940-11;Masculino;Viúvo;costelamaria-luisa@example.com;(071) 4666-8703;da Cruz Paulista;AL;Peugeot;3008;2021;Cinza;218939.01;2022-08-25;À vista
26;Maria Helena Viana;57;523.748.190-60;Feminino;Casado;lucas26@example.com;+55 31 8121 8450;da Luz;RJ;Toyota;Yaris;2022;Cinza;67416.01;2022-09-14;Consórcio
27;Breno Aparecida;39;378.965.410-84;Masculino;Divorciado;larissaferreira@example.net;(084) 0446 4945;da Cruz;AM;Honda;CR-V;2013;Prata;189863.85;2025-03-28;À vista
28;Stella Pacheco;24;469.785.023-83;Feminino;Solteiro;da-rochalarissa@example.com;0900-201-0676;Borges;DF;Hyundai;HB20;2023;Branco;167190.93;2025-01-06;Consórcio
29;Maria Flor Lopes;34;273.904.856-47;Feminino;Divorciado;thomas83@example.org;+55 71 5508-0658;Gomes;TO;Ford;Ka Sedan;2020;Prata;123166.34;2021-03-23;Consórcio
30;Cauê Leão;52;082.749.635-47;Masculino;Divorciado;enzoda-rosa@example.net;(071) 2043-4401;Barros;MA;Ford;Focus;2014;Preto;40356.38;2022-08-03;Consórcio
31;Amanda Caldeira;31;352.186.940-70;Feminino;Casado;martinsantonio@example.net;+55 71 2255-1621;Rezende;PE;Toyota;Camry;2018;Verde;244066.73;2025-01-25;Consórcio
32;Maria Luísa Rezende;45;031.928.754-88;Feminino;Viúvo;qalbuquerque@example.org;(051) 3164-5404;Moura do Galho;PE;Ford;Ka;2016;Azul;188856.08;2023-04-16;Financiamento
33;Maitê Pereira;21;843.915.207-88;Feminino;Divorciado;ana-vitoriasouza@example.com;(021) 6277 4689;Moura do Oeste;RR;Citroen;C4 Grand Picasso;2020;Preto;83935.0;2020-10-01;Financiamento
34;Otávio Borges;60;759.602.341-06;Masculino;Viúvo;yrios@example.net;+55 (084) 9792 0038;Caldeira Alegre;ES;Fiat;500e;2015;Vermelho;74997.74;2024-03-13;À vista
35;Rodrigo Macedo;39;318.675.492-55;Masculino;Divorciado;pastorvicente@example.net;0800-361-1045;da Rocha;RO;Honda;Civic;2020;Cinza;195585.86;2023-03-14;Consórcio
36;Ágatha Cirino;67;109.628.745-58;Feminino;Casado;cavalcantiravi@example.net;81 3283-5516;Gomes da Prata;AC;Ford;Ecosport;2019;Vermelho;152829.09;2023-03-25;Financiamento
37;Levi Farias;29;342.178.560-08;Masculino;Solteiro;bernardomacedo@example.com;+55 81 9493 6546;da Rocha do Campo;RN;Toyota;Yaris;2018;Cinza;177644.65;2023-08-19;Financiamento
38;Cecília Teixeira;58;243.057.968-56;Feminino;Viúvo;rodrigo54@example.com;31 4452-0605;Costa;RJ;Volskwagen;Saveiro;2022;Vermelho;220722.97;2021-11-23;Consórcio
39;Eduardo Azevedo;48;743.928.156-09;Masculino;Divorciado;camposleonardo@example.org;+55 (021) 6862-8316;Martins da Praia;ES;Toyota;Hilux;2014;Cinza;172676.48;2022-03-20;Leasing
40;Giovanna Mendonça;28;642.509.138-05;Feminino;Casado;ybrito@example.com;+55 (011) 7676 6604;Azevedo de Minas;MA;Hyundai;HB20S;2015;Verde;203203.97;2019-05-07;Consórcio
41;Bryan da Rocha;54;791.582.643-37;Masculino;Solteiro;pachecoagatha@example.com;+55 (061) 1349-2158;Leão;MT;Fiat;Mobi;2016;Preto;51946.08;2023-07-07;Consórcio
42;Gael Henrique Martins;39;954.281.370-88;Masculino;Divorciado;portodaniela@example.net;(051) 7485 9526;Nunes de Leão;AC;Peugeot;Partner;2015;Cinza;107859.97;2017-08-16;Financiamento
43;Olívia Sá;52;160.372.495-80;Feminino;Viúvo;maria-claracostela@example.net;+55 11 8539-1914;da Rocha;SP;Toyota;Corolla Cross;2013;Cinza;66405.52;2017-11-08;À vista
44;Cauê Cavalcante;31;052.983.764-10;Masculino;Divorciado;garcianicole@example.com;31 1059 2785;Lima;RR;Ford;Ecosport;2014;Branco;180941.02;2018-08-29;À vista
45;Paulo Martins;69;087.135.469-10;Masculino;Solteiro;lcorreia@example.com;+55 51 6318 0459;Vieira;CE;Peugeot;2008;2020;Vermelho;79249.69;2019-02-20;Consórcio
46;Lunna Borges;70;190.684.527-11;Feminino;Viúvo;luaravieira@example.org;+55 84 5369 7908;Fogaça de Novais;PI;Volskwagen;Virtus;2015;Preto;41542.21;2019-06-18;À vista
47;Maria Teixeira;21;195.263.078-95;Feminino;Viúvo;ada-mota@example.net;(081) 8762 3265;da Cruz;SE;Fiat;Cronos;2019;Branco;134014.2;2017-07-28;Consórcio
48;Isabelly Vieira;33;137.648.502-80;Feminino;Solteiro;maysasiqueira@example.net;(041) 6676 6368;Dias;MA;Volskwagen;Up;2018;Verde;90629.46;2021-08-03;Financiamento
49;Natália Nascimento;45;376.158.940-93;Feminino;Solteiro;cavalcantealana@example.net;71 3687-5195;Fernandes do Amparo;PB;Toyota;Yaris;2013;Prata;243102.81;2024-06-05;Financiamento
50;Maria Eduarda Cassiano;37;427.305.861-80;Feminino;Divorciado;ucorreia@example.com;(021) 9156-0808;da Conceição Grande;SE;Volskwagen;T-Cross;2014;Preto;128410.82;2020-12-21;Consórcio
51;Anna Liz Azevedo;61;207.154.968-67;Feminino;Viúvo;stephany34@example.net;+55 31 6769-2297;Ramos;MS;Fiat;500e;2022;Branco;180462.74;2024-11-17;Consórcio
52;Bella Macedo;36;279.345.160-61;Feminino;Casado;maria-julia93@example.org;(081) 6242 4375;Gomes da Serra;PI;Hyundai;Tucson;2019;Vermelho;118578.97;2023-04-04;À vista
53;Nathan Moura;67;174.580.269-01;Masculino;Viúvo;ramosluiz-fernando@example.net;+55 (011) 8392-6134;Jesus;PB;Fiat;Cronos;2019;Vermelho;164859.55;2021-11-04;À vista
